MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
83,338,124,485,471,814,144,307,96,1016,145,1013,41.1
84,338,124,485,471,818,144,307,97,1017,146,1013,41.2
83,338,124,485,471,817,144,307,97,1016,146,1014,41.3
83,338,124,485,472,817,144,308,97,1017,146,1014,41.4
83,338,124,484,471,819,145,308,96,1016,146,1014,41.5
83,338,124,485,471,816,144,308,97,1017,146,1015,41.6
83,338,124,485,471,810,144,308,96,1016,146,1015,41.7
83,338,125,485,471,808,144,308,97,1016,145,1016,41.8
83,338,125,485,472,809,144,308,96,1016,145,1015,41.9
83,338,124,485,471,811,144,309,96,1016,145,1016,42
84,338,124,485,471,810,144,309,97,1016,145,1015,42.1
83,338,124,485,471,810,144,309,97,1016,146,1015,42.2
83,338,124,485,471,811,144,308,98,1016,145,1016,42.3
83,338,124,485,472,810,144,307,97,1017,146,1016,42.4
83,338,125,484,471,810,144,305,96,1017,146,1015,42.5
83,338,124,485,471,802,144,302,97,1016,146,1016,42.6
83,337,124,486,471,811,144,302,96,1017,145,1015,42.7
83,338,124,485,472,802,144,302,96,1017,146,1016,42.8
83,338,124,485,471,802,144,302,96,1017,147,1016,42.9
84,338,124,485,471,802,144,301,97,1016,146,1015,43
84,338,124,485,471,805,143,301,96,1017,145,1015,43.1
84,338,124,485,471,807,144,301,97,1016,145,1016,43.2
