Normal Atmosphere,Polluted Atmosphere,Time (sec)
145,1014,124.5
145,1014,124.6
145,1014,124.7
145,1013,124.8
145,1014,124.9
146,1014,125
145,1014,125.1
145,1013,125.2
145,1014,125.3
146,1013,125.4
145,1014,125.5
146,1012,125.6
145,1012,125.7
145,1012,125.8
146,1011,125.9
146,1012,126
145,1012,126.1
146,1012,126.2
145,1012,126.3
145,1012,126.4
145,1011,126.5
145,1012,126.6
145,1012,126.7
145,1012,126.8
145,1012,126.9
145,1012,127
145,1012,127.1
145,1012,127.2
145,1012,127.3
145,1012,127.4
145,1012,127.5
145,1012,127.6
145,1012,127.7
145,1012,127.8
145,1012,127.9
144,1012,128
145,1012,128.1
145,1012,128.2
145,1012,128.3
145,1012,128.4
145,1012,128.5
145,1011,128.6
146,1012,128.7
145,1011,128.8
145,1012,128.9
145,1012,129
145,1012,129.1
145,1012,129.2
145,1012,129.3
146,1012,129.4
145,1012,129.5
146,1012,129.6
145,1011,129.7
145,1013,129.8
145,1011,129.9
145,1011,130
145,1012,130.1
145,1011,130.2
146,1011,130.3
145,1012,130.4
145,1011,130.5
145,1011,130.6
145,1011,130.7
145,1010,130.8
145,1009,130.9
145,1006,131
145,1006,131.1
145,1006,131.2
145,1006,131.3
145,1005,131.4
145,1006,131.5
145,1006,131.6
145,1006,131.7
144,1006,131.8
145,1006,131.9
146,1006,132
145,1006,132.1
145,1006,132.2
145,1005,132.3
146,1005,132.4
145,1004,132.5
145,1003,132.6
145,1003,132.7
145,999,132.8
145,999,132.9
145,1010,133
145,1012,133.1
145,1012,133.2
145,1012,133.3
145,1012,133.4
146,1011,133.5
146,1012,133.6
145,1012,133.7
145,1013,133.8
145,1012,133.9
146,1012,134
145,1012,134.1
146,1012,134.2
145,1012,134.3
145,1013,134.4
146,1013,134.5
145,1012,134.6
145,1012,134.7
145,1012,134.8
145,1012,134.9
145,1013,135
145,1012,135.1
145,1012,135.2
145,1013,135.3
145,1012,135.4
145,1013,135.5
145,1012,135.6
145,1012,135.7
145,1012,135.8
146,1012,135.9
145,1013,136
145,1012,136.1
145,1012,136.2
145,1013,136.3
145,1012,136.4
145,1012,136.5
145,1013,136.6
145,1012,136.7
145,1012,136.8
145,1013,136.9
145,1013,137
145,1012,137.1
145,1012,137.2
145,1013,137.3
145,1013,137.4
145,1013,137.5
145,1012,137.6
145,1012,137.7
144,1012,137.8
146,1012,137.9
145,1012,138
145,1012,138.1
145,1012,138.2
145,1012,138.3
145,1012,138.4
145,1012,138.5
145,1013,138.6
145,1013,138.7
145,1013,138.8
145,1013,138.9
145,1012,139
145,1013,139.1
145,1013,139.2
145,1013,139.3
145,1013,139.4
145,1013,139.5
145,1013,139.6
145,1012,139.7
145,1013,139.8
145,1012,139.9
146,1012,140
145,1013,140.1
145,1013,140.2
145,1013,140.3
145,1013,140.4
145,1013,140.5
145,1012,140.6
145,1012,140.7
145,1013,140.8
145,1013,140.9
145,1013,141
146,1013,141.1
145,1013,141.2
145,1013,141.3
145,1013,141.4
145,1013,141.5
145,1012,141.6
145,1013,141.7
145,1013,141.8
146,1013,141.9
145,1012,142
145,1013,142.1
145,1013,142.2
145,1012,142.3
145,1013,142.4
145,1012,142.5
145,1013,142.6
145,1013,142.7
146,1013,142.8
145,1012,142.9
145,1013,143
145,1013,143.1
145,1013,143.2
145,1013,143.3
145,1013,143.4
145,1013,143.5
146,1012,143.6
145,1012,143.7
145,1012,143.8
145,1013,143.9
145,1013,144
145,1012,144.1
145,1013,144.2
146,1012,144.3
145,1012,144.4
145,1012,144.5
145,1013,144.6
145,1012,144.7
145,1013,144.8
145,1013,144.9
145,1013,145
145,1012,145.1
145,1012,145.2
145,1012,145.3
145,1012,145.4
145,1013,145.5
145,1013,145.6
145,1013,145.7
145,1013,145.8
145,1013,145.9
144,1013,146
145,1012,146.1
145,1012,146.2
144,1012,146.3
145,1012,146.4
145,1012,146.5
145,1012,146.6
145,1013,146.7
145,1012,146.8
145,1012,146.9
145,1012,147
145,1013,147.1
146,1013,147.2
145,1013,147.3
145,1012,147.4
145,1012,147.5
145,1012,147.6
145,1012,147.7
145,1012,147.8
145,1011,147.9
145,1011,148
146,1011,148.1
145,1011,148.2
145,1011,148.3
145,1011,148.4
145,1011,148.5
145,1011,148.6
145,1010,148.7
146,1010,148.8
145,1011,148.9
145,1011,149
145,1011,149.1
145,1011,149.2
145,1011,149.3
145,1011,149.4
145,1011,149.5
145,1011,149.6
146,1010,149.7
145,1010,149.8
145,1010,149.9
145,1010,150
145,1010,150.1
144,1010,150.2
145,1010,150.3
145,1010,150.4
146,1009,150.5
145,1009,150.6
